사고유형,X1_High_Risk_Prob,X2_Estimated_Compensation,X3_Accident_Frequency,TOPSIS_CC,순위
"고등학교-실·내외 체육시설-수련활동, 수학여행-기타 호흡 곤란",0.3341742947288001,591768000.0,1,0.4852499657595444,1
초등학교-교통구역(스쿨존 내)-차도-방과후과정-교통사고,0.0280902987166966,579451000.0,1,0.4464958157749612,2
중학교-강당(체육관)-체육-움직이는 물체와의 부딪힘,0.0225545871155656,179000.94517958412,10580,0.4464543977396215,3
초등학교-강당(체육관)-체육-넘어짐,0.0808043662862073,254278.4113645458,9996,0.4378414942570999,4
중학교-운동장-체육-넘어짐,0.0737278447252211,509122.8752815892,9766,0.4312755727080986,5
초등학교-강당(체육관)-체육-스포츠 활동 중 충격을 가함,0.0272362332659232,200114.8285832301,9684,0.4245757539105673,6
유치원-강·바다·하천-기타 활동시간-익사·익수,0.0007383650316508,484654000.0,1,0.3978573317975875,7
초등학교-강당(체육관)-체육-고정된 물체와의 부딪힘,0.1112616596043807,171828.31287963307,8067,0.3851412483729673,8
중학교-강당(체육관)-체육-고정된 물체와의 부딪힘,0.109871337005591,229765.783858416,7967,0.3817375015754121,9
중학교-강당(체육관)-체육-스포츠 활동 중 충격을 가함,0.0282862905053368,304431.5068493151,7738,0.3662373009740023,10
중학교-운동장-체육-움직이는 물체와의 부딪힘,0.038794463013305,200598.9779451318,7436,0.3567954463513899,11
중학교-운동장-식사시간(간식 포함)-넘어짐,0.7916550066496549,859083.7297811608,3153,0.355105269055082,12
중학교-운동장-식사시간(간식 포함)-사람과의 부딪힘,0.9290270584611704,552828.2442748091,1310,0.3526907235981212,13
고등학교-운동장-식사시간(간식 포함)-넘어짐,0.8266938258445846,1108771.6236722306,2636,0.3521563784753283,14
고등학교-운동장-식사시간(간식 포함)-사람과의 부딪힘,0.937506925479268,1114309.8214285714,1120,0.3519558025998089,15
중학교-강당(체육관)-체육-넘어짐,0.063873232472319,449012.0124364048,7076,0.3463512320148423,16
고등학교-운동장-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.9005313847818808,1129495.0115118956,1303,0.345760426169028,17
초등학교-강당(체육관)-체육-움직이는 물체와의 부딪힘,0.0243925496365559,177166.73737802292,7071,0.3426050254823303,18
중학교-운동장-등교-사람과의 부딪힘,0.9503635393776406,351900.0,20,0.3408882459069504,19
중학교-운동장-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.8281704004507371,296550.29296875,2048,0.3402874198369333,20
